,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
5523,Everton,Man City,1,1,D,29,44,33,19,1.0,2.1904761904761907,L,L,L,W,D,W,5.0,1.0,21.0,4.0,-0.19047619047619047,1.1904761904761905,LLL,WDW,0,7,-0.3333333333333333
5524,Leicester,Aston Villa,1,0,H,19,11,33,22,0.6666666666666666,1.0476190476190477,D,W,L,D,D,L,18.0,15.0,21.0,3.0,-0.6666666666666666,-0.5238095238095238,DWL,DDL,4,2,0.09523809523809523
5525,Sunderland,Liverpool,0,1,A,18,28,30,27,0.9523809523809523,1.380952380952381,L,D,L,D,W,W,14.0,2.0,21.0,12.0,-0.5714285714285714,0.047619047619047616,LDL,DWW,1,7,-0.2857142857142857
5526,Swansea,West Ham,1,1,D,25,31,24,24,1.380952380952381,1.5238095238095237,D,L,W,D,L,L,12.0,13.0,21.0,-1.0,0.047619047619047616,0.3333333333333333,DLW,DLL,4,1,0.14285714285714285
5527,West Brom,Hull,1,0,H,19,20,29,26,0.8571428571428571,0.9047619047619048,D,L,L,W,L,W,17.0,16.0,21.0,1.0,-0.47619047619047616,-0.2857142857142857,DLL,WLW,1,6,-0.23809523809523808
5528,Arsenal,Stoke,3,0,H,34,22,25,24,1.5714285714285714,1.2380952380952381,L,W,W,D,W,W,4.0,9.0,21.0,-5.0,0.42857142857142855,-0.09523809523809523,LWW,DWW,6,7,-0.047619047619047616
5529,Man United,Southampton,0,1,A,34,34,20,15,1.7619047619047619,1.7142857142857142,D,D,W,W,D,W,7.0,8.0,21.0,-1.0,0.6666666666666666,0.9047619047619048,DDW,WDW,5,7,-0.09523809523809523
5530,Aston Villa,Liverpool,0,2,A,11,29,23,27,1.0,1.4545454545454546,L,D,D,W,D,W,15.0,2.0,22.0,13.0,-0.5454545454545454,0.09090909090909091,LDD,WDW,2,7,-0.22727272727272727
5531,Burnley,Crystal Palace,2,3,A,19,22,33,31,0.9090909090909091,0.9090909090909091,W,D,D,W,D,D,18.0,11.0,22.0,7.0,-0.6363636363636364,-0.4090909090909091,WDD,WDD,5,5,0.0
5532,Leicester,Stoke,0,1,A,20,22,33,27,0.7727272727272727,1.1818181818181819,W,D,W,L,D,W,18.0,9.0,22.0,9.0,-0.5909090909090909,-0.22727272727272727,WDW,LDW,7,4,0.13636363636363635
5533,Newcastle,Southampton,1,2,A,25,35,33,15,1.2272727272727273,1.7727272727272727,L,D,W,W,W,D,10.0,8.0,22.0,2.0,-0.36363636363636365,0.9090909090909091,LDW,WWD,4,7,-0.13636363636363635
5534,QPR,Man United,0,2,A,23,34,37,21,0.8636363636363636,1.6818181818181819,L,D,D,L,D,D,18.0,7.0,22.0,11.0,-0.6363636363636364,0.5909090909090909,LDD,LDD,2,2,0.0
5535,Swansea,Chelsea,0,5,A,26,46,25,19,1.3636363636363635,2.227272727272727,D,D,L,W,L,D,12.0,3.0,22.0,9.0,0.045454545454545456,1.2272727272727273,DDL,WLD,2,4,-0.09090909090909091
5536,Tottenham,Sunderland,2,1,H,30,18,29,31,1.5454545454545454,0.9090909090909091,L,W,D,L,L,D,6.0,14.0,22.0,-8.0,0.045454545454545456,-0.5909090909090909,LWD,LLD,4,1,0.13636363636363635
